measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Europe & Central Asia - WB,Female,55+ years,All causes,Number,1990,3641335.2747524674,3653024.5175921186,3629257.5386525206
Deaths,Europe & Central Asia - WB,Male,20-54 years,All causes,Number,1990,820786.0454036653,825992.4900620721,815388.8689941147
Deaths,Europe & Central Asia - WB,Female,20-54 years,All causes,Number,1990,327814.14098163275,330562.79993118264,325060.42679303343
Deaths,Europe & Central Asia - WB,Male,<5 years,All causes,Number,1991,194365.68706583878,208232.031501432,181491.73765152157
Deaths,Europe & Central Asia - WB,Female,<5 years,All causes,Number,1991,150971.04416861216,160227.21408872562,142639.3349649991
Deaths,Europe & Central Asia - WB,Male,5-19 years,All causes,Number,1991,65808.33565052263,66860.99981467397,64808.13184117987
Deaths,Europe & Central Asia - WB,Female,5-19 years,All causes,Number,1991,33308.483334537574,33748.15558035367,32887.426217593165
Deaths,Europe & Central Asia - WB,Male,55+ years,All causes,Number,1991,3222469.5307822363,3237293.6847117934,3206471.358531917
Deaths,Europe & Central Asia - WB,Female,55+ years,All causes,Number,1991,3691594.263092112,3703782.7694185935,3679568.3650960308
Deaths,Europe & Central Asia - WB,Male,20-54 years,All causes,Number,1991,852308.5601851541,857681.789244623,846922.4914187959
Deaths,Europe & Central Asia - WB,Female,20-54 years,All causes,Number,1991,334727.79433992197,337449.10170092754,332111.88059042
Deaths,Middle East & North Africa - WB,Male,<5 years,All causes,Number,1990,326399.8569443257,355750.5441334818,299594.06592572626
Deaths,Middle East & North Africa - WB,Female,<5 years,All causes,Number,1990,288626.7136371252,310133.9318132776,268950.71960531676
Deaths,Middle East & North Africa - WB,Male,5-19 years,All causes,Number,1990,67058.26743521822,70761.33217951067,63646.535974062026
Deaths,Middle East & North Africa - WB,Female,5-19 years,All causes,Number,1990,44471.62013683251,46816.49445983804,42186.99152831914
Deaths,Middle East & North Africa - WB,Male,55+ years,All causes,Number,1990,399006.9846286833,417827.975681599,381802.9553793953
Deaths,Middle East & North Africa - WB,Female,55+ years,All causes,Number,1990,333335.5549419136,344853.23003987176,322328.03043961746
Deaths,Middle East & North Africa - WB,Male,20-54 years,All causes,Number,1990,178056.450685656,188995.67338125088,167703.88766423232
Deaths,Middle East & North Africa - WB,Female,20-54 years,All causes,Number,1990,111752.37606577622,120234.73092381854,103780.25577766923
Deaths,South Asia - WB,Male,<5 years,All causes,Number,1991,2036515.4186329776,2210937.7693213876,1867266.7378415356
Deaths,South Asia - WB,Female,<5 years,All causes,Number,1991,1984838.1454934466,2153478.7530666627,1827894.4317946476
Deaths,South Asia - WB,Male,5-19 years,All causes,Number,1991,402873.07151190063,420885.80328467314,384785.96307228
Deaths,South Asia - WB,Female,5-19 years,All causes,Number,1991,431741.5988029498,451291.9506423816,413678.41179324995
Deaths,South Asia - WB,Male,55+ years,All causes,Number,1991,2431465.946456874,2578940.216218229,2302274.598149151
Deaths,South Asia - WB,Female,55+ years,All causes,Number,1991,1912772.331865443,2008878.5575737495,1821660.5221379981
Deaths,South Asia - WB,Male,20-54 years,All causes,Number,1991,1202136.2743705728,1282829.9187235388,1131169.0170304033
Deaths,South Asia - WB,Female,20-54 years,All causes,Number,1991,920048.0849922576,989335.8138091762,856599.6632637582
Deaths,Middle East & North Africa - WB,Male,<5 years,All causes,Number,1991,305719.68133660743,334427.89882562286,280217.2955078605
Deaths,Middle East & North Africa - WB,Female,<5 years,All causes,Number,1991,270092.19602411793,290530.9250896021,251143.1176572921
Deaths,Middle East & North Africa - WB,Male,5-19 years,All causes,Number,1991,58519.399719136076,62026.99546555544,55349.79270079727
Deaths,Middle East & North Africa - WB,Female,5-19 years,All causes,Number,1991,39162.21631812139,41499.01035580376,36924.524198501866
Deaths,Middle East & North Africa - WB,Male,55+ years,All causes,Number,1991,405468.2593745395,424258.9119090888,388541.75879042567
Deaths,Middle East & North Africa - WB,Female,55+ years,All causes,Number,1991,338343.27940145927,350203.0802637179,327010.8557507117
Deaths,Middle East & North Africa - WB,Male,20-54 years,All causes,Number,1991,169417.2800859803,180778.30671288026,158806.2226172514
Deaths,Middle East & North Africa - WB,Female,20-54 years,All causes,Number,1991,108309.66458971275,116964.55222330875,100280.60410613447
Deaths,Latin America & Caribbean - WB,Male,<5 years,All causes,Number,1991,337739.0569442885,358383.10690134554,317682.8373157268
Deaths,Latin America & Caribbean - WB,Female,<5 years,All causes,Number,1991,273721.95774683094,287917.7152480511,259777.63147816967
Deaths,Latin America & Caribbean - WB,Male,5-19 years,All causes,Number,1991,74751.30756273578,76393.86418824573,73205.3906123702
Deaths,Latin America & Caribbean - WB,Female,5-19 years,All causes,Number,1991,42439.6855083101,43319.474359888416,41572.2625836914
Deaths,Latin America & Caribbean - WB,Male,55+ years,All causes,Number,1991,758208.2987416892,765134.121438128,751355.650533627
Deaths,Latin America & Caribbean - WB,Female,55+ years,All causes,Number,1991,662712.2419744022,668411.5091898406,657109.3982012435
Deaths,Latin America & Caribbean - WB,Male,20-54 years,All causes,Number,1991,402637.8323164152,407172.4651525274,398336.0192510826
Deaths,Latin America & Caribbean - WB,Female,20-54 years,All causes,Number,1991,196266.42617968417,199976.5426178276,192596.81559426608
Deaths,East Asia & Pacific - WB,Male,<5 years,All causes,Number,1991,1234758.6658959396,1336436.07286047,1131620.7021946271
Deaths,East Asia & Pacific - WB,Female,<5 years,All causes,Number,1991,1022782.0190353533,1096332.2759423703,951599.8688242026
Deaths,East Asia & Pacific - WB,Male,5-19 years,All causes,Number,1991,288700.39125265746,307107.7235850268,272208.3384450208
Deaths,East Asia & Pacific - WB,Female,5-19 years,All causes,Number,1991,176046.1694087895,188917.65987065985,166722.78128038585
Deaths,East Asia & Pacific - WB,Male,55+ years,All causes,Number,1991,4222161.689022592,4628020.63059646,3834475.1292777793
Deaths,East Asia & Pacific - WB,Female,55+ years,All causes,Number,1991,3836652.852154137,4130180.273561952,3533631.3328182297
Deaths,East Asia & Pacific - WB,Male,20-54 years,All causes,Number,1991,1536800.3964559522,1700836.2116551157,1383325.7629292547
Deaths,East Asia & Pacific - WB,Female,20-54 years,All causes,Number,1991,921742.6708056679,1046957.2751377048,813444.6082907713
Deaths,North America,Male,<5 years,All causes,Number,1990,27770.29562558626,28024.973000160197,27537.56674320257
Deaths,North America,Female,<5 years,All causes,Number,1990,21223.47352069891,21415.3750702071,21034.152779085114
Deaths,North America,Male,5-19 years,All causes,Number,1990,18063.01018730947,18121.896971117403,18007.70540145842
Deaths,North America,Female,5-19 years,All causes,Number,1990,8050.300460555279,8078.511103319307,8023.1552332052715
Deaths,North America,Male,55+ years,All causes,Number,1990,956635.9058259977,958716.2537205638,954478.9144537417
Deaths,North America,Female,55+ years,All causes,Number,1990,985544.2925010335,987943.1721870479,983022.434664449
Deaths,North America,Male,20-54 years,All causes,Number,1990,207385.1496914399,207878.69114969423,206861.49920242265
Deaths,North America,Female,20-54 years,All causes,Number,1990,98640.70002446053,98993.68770466103,98272.29616033421
Deaths,Sub-Saharan Africa - WB,Male,<5 years,All causes,Number,1991,2108716.495159509,2239412.4187908177,1981163.0854623117
Deaths,Sub-Saharan Africa - WB,Female,<5 years,All causes,Number,1991,1816511.7689538535,1897993.678094517,1738570.6727296677
Deaths,Sub-Saharan Africa - WB,Male,5-19 years,All causes,Number,1991,195524.5087814239,207959.84414207068,182582.55409743075
Deaths,Sub-Saharan Africa - WB,Female,5-19 years,All causes,Number,1991,156900.8236825264,167904.8483649703,145334.35570879572
Deaths,Sub-Saharan Africa - WB,Male,55+ years,All causes,Number,1991,955286.7019411168,1011727.4063071749,899201.7998809422
Deaths,Sub-Saharan Africa - WB,Female,55+ years,All causes,Number,1991,775030.5632597059,810245.3527285318,737899.7317618656
Deaths,Sub-Saharan Africa - WB,Male,20-54 years,All causes,Number,1991,649873.5794390463,717254.9788185416,596306.1224889987
Deaths,Sub-Saharan Africa - WB,Female,20-54 years,All causes,Number,1991,565857.7705131873,645262.0356150479,503670.58569015417
Deaths,North America,Male,<5 years,All causes,Number,1991,26621.308873527953,26848.649442907743,26379.87022235644
Deaths,North America,Female,<5 years,All causes,Number,1991,20366.03763905637,20563.600391326876,20161.971912581062
Deaths,North America,Male,5-19 years,All causes,Number,1991,17761.567161881412,17821.266073016002,17707.28553986432
Deaths,North America,Female,5-19 years,All causes,Number,1991,7795.45981235565,7824.43094235932,7767.399031469394
Deaths,North America,Male,55+ years,All causes,Number,1991,962221.5133367971,964673.5501404186,959937.042677223
Deaths,North America,Female,55+ years,All causes,Number,1991,999146.8374856372,1001812.6244712962,996735.6896185137
Deaths,North America,Male,20-54 years,All causes,Number,1991,211689.57031489987,212297.27496072667,211132.06271660578
Deaths,North America,Female,20-54 years,All causes,Number,1991,100684.08443566307,101079.30511785236,100325.60393236537
Deaths,Middle East & North Africa - WB,Male,<5 years,All causes,Number,1992,290527.1067441665,316969.3785666665,266394.9350715932
Deaths,Middle East & North Africa - WB,Female,<5 years,All causes,Number,1992,256510.37654507434,276003.1791927038,238263.40826698134
Deaths,Middle East & North Africa - WB,Male,5-19 years,All causes,Number,1992,59954.599521019954,63593.78681267336,56521.707678397994
Deaths,Middle East & North Africa - WB,Female,5-19 years,All causes,Number,1992,38867.32823207415,41250.57619678916,36562.97471822186
Deaths,Middle East & North Africa - WB,Male,55+ years,All causes,Number,1992,415962.00121466554,435614.8683178886,397088.4766656757
Deaths,Middle East & North Africa - WB,Female,55+ years,All causes,Number,1992,345989.54698257765,358554.9465284796,334078.20933199296
